ID,sex,race,educ,yob,hhincome2021,parent_edu
298,female,nonblacknonhispanic,HS,1983,76050,BA or more
299,male,nonblacknonhispanic,HS,1981,182743,HS
303,female,nonblacknonhispanic,BA,1980,97500,BA or more
307,female,nonblacknonhispanic,MA,1980,132000,BA or more
309,female,nonblacknonhispanic,BA,1981,103000,BA or more
311,male,nonblacknonhispanic,BA,1982,170000,BA or more
313,female,nonblacknonhispanic,BA,1981,364000,BA or more
315,female,nonblacknonhispanic,HS,1982,22000,BA or more
320,female,nonblacknonhispanic,BA,1982,114214,BA or more
321,male,nonblacknonhispanic,HS,1981,150000,HS
322,female,nonblacknonhispanic,MA,1982,0,Some college
323,male,nonblacknonhispanic,HS,1980,599728,Some college
327,female,nonblacknonhispanic,MA,1983,599728,BA or more
331,female,nonblacknonhispanic,BA,1980,54000,HS
332,male,nonblacknonhispanic,MA,1980,217000,BA or more
333,female,nonblacknonhispanic,HS,1982,108000,BA or more
335,female,nonblacknonhispanic,BA,1980,171993,HS
336,male,black,MA,1982,210000,BA or more
337,male,nonblacknonhispanic,HS,1983,227500,BA or more
340,male,nonblacknonhispanic,MA,1981,80000,less than HS
341,male,nonblacknonhispanic,BA,1983,208286,less than HS
342,male,nonblacknonhispanic,GED,1982,117786,BA or more
343,male,nonblacknonhispanic,GED,1984,0,BA or more
346,male,hispanic,HS,1984,130000,HS
347,male,hispanic,HS,1981,67000,less than HS
348,male,hispanic,None,1983,51086,less than HS
349,male,hispanic,HS,1984,53286,less than HS
354,female,hispanic,HS,1982,175000,less than HS
355,female,hispanic,HS,1980,333514,less than HS
356,female,hispanic,HS,1982,70000,less than HS
357,male,hispanic,HS,1981,75000,less than HS
362,female,hispanic,HS,1981,52486,less than HS
363,female,hispanic,HS,1983,108000,less than HS
366,female,hispanic,BA,1980,99806,less than HS
367,male,hispanic,AA,1981,100000,less than HS
368,female,hispanic,AA,1981,52000,less than HS
371,female,hispanic,None,1982,18000,HS
372,male,hispanic,HS,1983,74000,HS
373,female,hispanic,HS,1984,93071,HS
374,female,nonblacknonhispanic,HS,1981,89981,Some college
376,male,black,HS,1981,148000,HS
377,female,black,HS,1984,20000,HS
378,male,black,HS,1984,171000,BA or more
382,female,nonblacknonhispanic,BA,1980,99500,Some college
385,male,hispanic,HS,1981,75000,less than HS
388,female,hispanic,None,1982,7500,less than HS
391,male,nonblacknonhispanic,MA,1980,160000,less than HS
393,male,hispanic,AA,1983,31000,Some college
394,male,hispanic,BA,1984,280000,BA or more
395,male,nonblacknonhispanic,AA,1984,65000,Some college
397,male,hispanic,GED,1982,5000,Some college
400,female,multi,BA,1982,110000,HS
401,male,nonblacknonhispanic,HS,1984,210001,Some college
402,female,nonblacknonhispanic,HS,1984,208000,HS
403,female,black,HS,1984,30040,Some college
413,male,black,HS,1980,128000,Some college
414,female,black,HS,1980,0,less than HS
415,female,nonblacknonhispanic,BA,1981,155000,Some college
416,female,nonblacknonhispanic,ProfD,1980,599728,BA or more
420,male,nonblacknonhispanic,BA,1980,230000,BA or more
421,male,nonblacknonhispanic,HS,1982,130000,BA or more
422,male,multi,BA,1981,145000,BA or more
423,female,multi,AA,1984,80000,BA or more
425,female,nonblacknonhispanic,MA,1982,160000,BA or more
426,female,hispanic,HS,1980,54000,less than HS
427,male,hispanic,HS,1981,65286,less than HS
428,female,hispanic,GED,1984,107000,less than HS
429,male,nonblacknonhispanic,None,1981,0,HS
433,female,hispanic,AA,1984,51300,BA or more
434,male,nonblacknonhispanic,HS,1982,181500,BA or more
435,female,hispanic,ProfD,1981,140050,Some college
440,male,hispanic,HS,1980,58000,BA or more
441,male,hispanic,None,1982,21500,BA or more
444,female,hispanic,None,1982,20000,HS
447,female,hispanic,HS,1983,40000,HS
448,female,hispanic,HS,1983,0,HS
451,male,hispanic,GED,1983,133000,less than HS
456,male,hispanic,MA,1983,230000,HS
457,male,hispanic,HS,1980,17000,less than HS
459,female,hispanic,BA,1983,20007,HS
460,female,hispanic,HS,1981,19923,less than HS
461,female,hispanic,GED,1983,15000,less than HS
464,female,hispanic,HS,1981,140000,less than HS
465,female,hispanic,AA,1984,48000,less than HS
466,male,hispanic,GED,1983,100000,less than HS
467,female,hispanic,HS,1984,75000,less than HS
469,female,hispanic,HS,1982,95000,HS
470,female,hispanic,HS,1981,115000,BA or more
471,male,hispanic,HS,1980,0,less than HS
472,female,hispanic,BA,1983,75000,less than HS
473,female,hispanic,None,1982,50000,Some college
475,male,hispanic,HS,1981,45000,HS
476,male,black,BA,1982,150000,HS
477,female,hispanic,HS,1982,135000,HS
479,female,hispanic,HS,1982,17500,less than HS
480,female,hispanic,HS,1980,0,less than HS
481,male,hispanic,GED,1984,115000,less than HS
483,male,hispanic,ProfD,1980,246000,Some college
484,female,hispanic,MA,1982,136629,Some college
485,male,nonblacknonhispanic,MA,1982,201714,BA or more
487,male,nonblacknonhispanic,BA,1984,120000,Some college
488,female,nonblacknonhispanic,HS,1982,47288,Some college
490,male,multi,HS,1982,190000,BA or more
496,male,hispanic,MA,1984,120000,HS
498,female,nonblacknonhispanic,MA,1980,215000,BA or more
501,male,nonblacknonhispanic,HS,1982,159000,HS
502,male,nonblacknonhispanic,HS,1983,250000,Some college
506,male,nonblacknonhispanic,BA,1982,100,Some college
507,female,nonblacknonhispanic,HS,1984,103200,less than HS
508,male,hispanic,None,1981,35000,less than HS
509,female,black,PhD,1984,246000,Some college
511,male,hispanic,HS,1980,123000,less than HS
513,male,hispanic,None,1982,127500,less than HS
515,female,hispanic,AA,1983,95000,HS
516,male,hispanic,None,1983,20000,HS
517,male,hispanic,HS,1981,155000,less than HS
518,female,hispanic,HS,1983,27280,less than HS
519,female,hispanic,HS,1980,212500,HS
520,male,hispanic,HS,1981,114000,less than HS
521,male,hispanic,None,1983,0,less than HS
522,male,hispanic,None,1983,48000,BA or more
523,female,nonblacknonhispanic,None,1980,1800,Some college
524,male,hispanic,GED,1981,599728,HS
525,male,hispanic,HS,1982,110000,less than HS
526,male,hispanic,GED,1983,9000,less than HS
527,male,nonblacknonhispanic,BA,1981,0,BA or more
